project,year,code_klloc,effective_klloc,issues_created,issues_fixed
wss4j,2009,23.624687500000004,14.3055078125,26,23
wss4j,2010,21.393041666666665,14.193930555555555,23,21
wss4j,2011,18.10401153846154,18.10401153846154,38,27
wss4j,2012,31.716985221674875,31.708825641025637,22,19
wss4j,2013,43.5803215339233,43.51424483775811,47,33
wss4j,2014,49.723847222222226,49.723847222222226,18,12
wss4j,2015,51.88481526104418,51.88481526104418,24,16
wss4j,2016,53.37225471698114,53.37225471698114,21,11
wss4j,2017,55.17357407407407,55.173435185185184,10,11
zeppelin,2014,4.368205479452055,4.368205479452055,0,4
zeppelin,2015,23.11535960591133,23.0362684729064,258,126
zeppelin,2016,44.69326659751037,43.97428008298755,642,324
zeppelin,2017,62.72236173393123,61.57693273542601,668,261
